City,Latitude,Longitude,Country Code
Andorra la Vella,42.50779,1.52109,AD
Les Escaldes,42.50729,1.53414,AD
Encamp,42.53474,1.58014,AD
Sant Julià de Lòria,42.46372,1.49129,AD
La Massana,42.54499,1.51483,AD
Canillo,42.5676,1.59756,AD
Ordino,42.55623,1.53319,AD
Pas de la Casa,42.54277,1.73361,AD
El Tarter,42.57952,1.65362,AD
Arinsal,42.57205,1.48453,AD
Xixerella,42.55327,1.48736,AD
Vila,42.53176,1.56654,AD
Sornàs,42.56461,1.52757,AD
Soldeu,42.57688,1.66769,AD
Sispony,42.53368,1.51613,AD
Segudet,42.55713,1.53808,AD
Santa Coloma,42.49454,1.49897,AD
Ransol,42.58137,1.63812,AD
Prats,42.56003,1.59396,AD
Pal,42.54592,1.47524,AD
Nagol,42.47142,1.50231,AD
Molleres,42.55093,1.58985,AD
Meritxell,42.55403,1.59087,AD
Llumeneres,42.47229,1.51165,AD
Llorts,42.59625,1.52658,AD
Les Bons,42.53873,1.58649,AD
l'Aldosa de canillo,42.57895,1.62902,AD
l'Aldosa,42.54391,1.52289,AD
La Cortinada,42.57423,1.51845,AD
Juberri,42.44,1.49194,AD
