City,Latitude,Longitude,Country Code
Dubai,25.07725,55.30927,AE
Sharjah,25.33737,55.41206,AE
Abu Dhabi,24.45118,54.39696,AE
Al Ain City,24.19167,55.76056,AE
Ras al-Khaimah,25.78953,55.9432,AE
Ajman,25.40177,55.47878,AE
Fujairah,25.11641,56.34141,AE
Musaffah City,24.35893,54.48267,AE
Khalifah A City,24.42588,54.605,AE
Umm Al Quwain City,25.56473,55.55517,AE
Reef Al Fujairah City,25.14479,56.24764,AE
Warisan,25.16744,55.40708,AE
Dubai Marina,25.08525,55.14646,AE
Jebel Ali,25.00255,55.10811,AE
Zayed City,23.65416,53.70522,AE
Khor Fakkan City,25.33132,56.34199,AE
Kalbā,25.0513,56.35422,AE
Dibba Al-Hisn,25.61955,56.27291,AE
Bani Yas City,24.30978,54.62944,AE
Jumayrā,25.20795,55.24969,AE
Dibba Al-Fujairah,25.59246,56.26176,AE
Ruwais,24.11028,52.73056,AE
Al Ḩamrīyah,25.47819,55.53377,AE
Hatta,24.80073,56.12726,AE
Dhaid,25.28812,55.88157,AE
Al Ḩamīdīyah,25.40001,55.52925,AE
Ar Rumaylah,25.40338,55.4334,AE
Bur Dubai,25.26038,55.29891,AE
Dubai Investments Park,25.00827,55.15682,AE
Al Shamkhah City,24.39268,54.70779,AE
