City,Latitude,Longitude,Country Code
St John's,17.12096,-61.84329,AG
Piggotts,17.11667,-61.8,AG
All Saints,17.06671,-61.79303,AG
Potters Village,17.11337,-61.81962,AG
Liberta,17.04141,-61.79052,AG
Codrington,17.6394,-61.82437,AG
Bolands,17.06565,-61.87466,AG
Parham,17.09682,-61.77046,AG
Cedar Grove,17.16225,-61.8178,AG
Carlisle,17.13226,-61.80356,AG
Old Road,17.01682,-61.83579,AG
Falmouth,17.02741,-61.78136,AG
Willikies,17.08684,-61.7093,AG
Swetes,17.05037,-61.80091,AG
Sea View Farm,17.08809,-61.80281,AG
Sawcolts,17.05038,-61.82014,AG
Pares,17.08493,-61.75445,AG
Jennings,17.07779,-61.86582,AG
Freetown,17.04791,-61.70332,AG
Ffryes,17.05509,-61.73143,AG
English Harbour Town,17.01637,-61.7674,AG
Betty’s Hope,17.08119,-61.74479,AG
Bethesda,17.04331,-61.75083,AG
Jolly Harbour,17.06622,-61.88646,AG
Urlings,17.02687,-61.87618,AG
Seatons,17.09435,-61.72552,AG
St. Philips,17.04628,-61.72373,AG
Saint Johnston Village,17.11861,-61.827,AG
Paynters,17.11789,-61.80678,AG
Osbourn,17.12591,-61.8044,AG
