City,Latitude,Longitude,Country Code
The Valley,18.21704,-63.05783,AI
Blowing Point Village,18.17648,-63.09375,AI
Sandy Ground Village,18.20118,-63.08998,AI
West End Village,18.17191,-63.14941,AI
The Quarter,18.20799,-63.04178,AI
Farrington,18.215,-63.02238,AI
Stoney Ground,18.22026,-63.04607,AI
South Hill Village,18.19201,-63.08779,AI
North Side,18.22919,-63.04401,AI
North Hill Village,18.20542,-63.07847,AI
Island Harbour,18.25601,-63.0102,AI
George Hill,18.19939,-63.0665,AI
East End Village,18.23333,-63,AI
Sandy Hill,18.22104,-63.01329,AI
Crocus Hill,18.2172,-63.06393,AI
Welches Hill,18.2446,-63.01217,AI
Shoal Bay Village,18.25385,-63.02886,AI
Little Dix,18.23261,-63.03779,AI
White Hill,18.25327,-62.99573,AI
Wattices,18.22674,-63.03368,AI
The Fountain,18.249,-63.03121,AI
The Forest,18.20039,-63.04521,AI
The Copse,18.23347,-62.99681,AI
Rey Hill,18.20834,-63.04353,AI
Mount Fortune,18.24301,-62.99552,AI
Lower South Hill,18.19209,-63.10206,AI
Long Path,18.21484,-63.0245,AI
Long Ground,18.20225,-63.0598,AI
Long Bay Village,18.1876,-63.12879,AI
Ebenezer,18.21667,-63.06667,AI
