City,Latitude,Longitude,Country Code
Luanda,-8.83682,13.23432,AO
Benguela,-12.57626,13.40547,AO
Sumbe,-11.20605,13.84371,AO
Ondjiva,-17.06667,15.73333,AO
Mossamedes,-15.19611,12.15222,AO
Menongue,-14.6585,17.69099,AO
Luena,-11.78333,19.91667,AO
Lubango,-14.91717,13.4925,AO
Cuito,-12.38333,16.93333,AO
Huambo,-12.77611,15.73917,AO
Lobito,-12.3644,13.53601,AO
Saurimo,-9.66078,20.39155,AO
Dundo,-7.36643,20.81557,AO
Uíge,-7.60874,15.06131,AO
Soyo,-6.1349,12.36894,AO
N'dalatando,-9.29782,14.91162,AO
Mbanza Congo,-6.26667,14.23833,AO
Malanje,-9.54015,16.34096,AO
Cabinda,-5.56717,12.19787,AO
Catumbela,-12.43002,13.54677,AO
Caála,-12.8525,15.56056,AO
Porto Amboim,-10.73251,13.76844,AO
Gabela,-10.85147,14.37993,AO
Lucapa,-8.41915,20.74466,AO
Chitato,-7.3,20.73333,AO
Caxito,-8.57848,13.66425,AO
Luau,-10.70727,22.22466,AO
Cela,-11.42173,15.12345,AO
Camucuio,-14.11667,13.25,AO
Camacupa,-12.01667,17.48333,AO
