City,Latitude,Longitude,Country Code
Buenos Aires,-34.61315,-58.37723,AR
Córdoba,-31.4135,-64.18105,AR
Mar del Plata,-38.00042,-57.5562,AR
Tucumán,-26.82414,-65.2226,AR
Salta,-24.7859,-65.41166,AR
Rosario,-32.94682,-60.63932,AR
Corrientes,-27.46784,-58.8344,AR
Posadas,-27.36708,-55.89608,AR
Santa Fe,-31.64881,-60.70868,AR
Bahía Blanca,-38.7176,-62.26545,AR
La Plata,-34.92145,-57.95453,AR
Formosa,-26.18489,-58.17313,AR
Resistencia,-27.46056,-58.98389,AR
Santiago del Estero,-27.79511,-64.26149,AR
Santa Rosa,-36.61667,-64.28333,AR
San Salvador de Jujuy,-24.19457,-65.29712,AR
San Luis,-33.29501,-66.33563,AR
San Juan,-31.5375,-68.53639,AR
Catamarca,-28.46957,-65.78524,AR
Río Gallegos,-51.62261,-69.21813,AR
Paraná,-31.73271,-60.52897,AR
Neuquén,-38.95161,-68.0591,AR
Mendoza,-32.89084,-68.82717,AR
Ushuaia,-54.81084,-68.31591,AR
La Rioja,-29.41105,-66.85067,AR
Concordia,-31.39195,-58.01706,AR
Tandil,-37.3287,-59.1369,AR
Quilmes,-34.72065,-58.25454,AR
San Rafael,-34.61531,-68.33238,AR
Río Cuarto,-33.13044,-64.35272,AR
