City,Latitude,Longitude,Country Code
Pago Pago,-14.27806,-170.7025,AS
Tafuna,-14.33583,-170.72,AS
Aūa,-14.27032,-170.66528,AS
Faleniu,-14.3325,-170.74444,AS
Leone,-14.34389,-170.785,AS
Vaitogi,-14.35259,-170.73796,AS
Fagatogo,-14.2825,-170.69,AS
Mapusagafou,-14.323,-170.754,AS
Malaeimi,-14.32278,-170.73389,AS
Vailoatai,-14.3534,-170.7808,AS
Ta`ū,-14.23361,-169.51444,AS
Fitiuta,-14.21675,-169.42493,AS
Taulaga,-11.05528,-171.08833,AS
Nu‘uuli,-14.31583,-170.6975,AS
Olosega,-14.17699,-169.62425,AS
Pagai,-14.269,-170.607,AS
Futiga,-14.35333,-170.75417,AS
Poloa,-14.32167,-170.83278,AS
Utulei,-14.28694,-170.68306,AS
Afao,-14.33667,-170.79917,AS
Aasu,-14.2975,-170.75833,AS
Āfono,-14.26417,-170.65083,AS
Alofau,-14.27917,-170.60222,AS
Alao,-14.2675,-170.56361,AS
Ālega,-14.28528,-170.6375,AS
Agugulu,-14.33556,-170.82167,AS
‘Āmanave,-14.33,-170.82944,AS
Amaluia,-14.33833,-170.79111,AS
Amaua,-14.27694,-170.62167,AS
Āmouli,-14.27806,-170.5825,AS
