City,Latitude,Longitude,Country Code
Oranjestad,12.52398,-70.02703,AW
Tanki Leendert,12.53914,-70.02004,AW
San Nicolas,12.43624,-69.90713,AW
Santa Cruz,12.50953,-69.98094,AW
Savaneta,12.45026,-69.93811,AW
Paradera,12.5351,-70.00688,AW
Ceru Colorado,12.41881,-69.8821,AW
Pos Chiquito,12.46497,-69.96233,AW
Noord,12.56596,-70.03198,AW
Palm Beach,12.56847,-70.03887,AW
Fontein,12.49258,-69.90574,AW
Butucu,12.47246,-69.91439,AW
Tanki Flip,12.54588,-70.03067,AW
Tamarijn,12.53591,-69.98757,AW
Shiribana,12.53717,-70.01119,AW
Shabiruri,12.52303,-69.97159,AW
Sero Blanco,12.52688,-70.02273,AW
Rooi Prikichi,12.54048,-69.98026,AW
Rooi Afó,12.52622,-70.00969,AW
Pos Abao,12.54425,-70.04898,AW
Plantersrust,12.51141,-70.00128,AW
Piedra Plat,12.52539,-69.99194,AW
Parkieten Bos,12.48734,-70.00064,AW
Noord Cura Cabai,12.45064,-69.93259,AW
Morgenster,12.51689,-70.00495,AW
Mon Pos,12.52361,-69.96889,AW
Modansa,12.53291,-70.01436,AW
Maria Mài,12.49322,-69.96087,AW
Marawiel,12.54543,-69.99113,AW
Mahuma,12.49709,-69.99769,AW
