City,Latitude,Longitude,Country Code
Mariehamn,60.09726,19.93481,AX
Hammarland,60.21667,19.75,AX
Finström,60.26667,19.93333,AX
Jomala,60.14902,19.951,AX
Eckerö,60.21249,19.61442,AX
Sund,60.25,20.11667,AX
Lemland,60.07178,20.08472,AX
Föglö,60.01392,20.41377,AX
Saltvik,60.28333,20.05,AX
Brändö,60.41165,21.04534,AX
Tjudö,60.33333,19.95,AX
Gottby,60.12992,19.82191,AX
Kumlinge,60.26013,20.77892,AX
Kökar,59.92051,20.90883,AX
Lumparland,60.11695,20.25819,AX
Önningby,60.11754,20.00782,AX
Bomarsund,60.21234,20.24023,AX
Sottunga,60.13023,20.66683,AX
Ämnäs,60.21667,19.98333,AX
Torp,60.18333,19.58333,AX
Tärnbolstad,60.26667,19.96667,AX
Jomalby,60.18333,19.98333,AX
Jättböle,60.13333,19.98333,AX
Hindersböle,60.11667,19.95,AX
Geta,60.37453,19.84455,AX
Krokstad,60.09708,20.26009,AX
Knutsboda,60.06667,20.03333,AX
Lappo,60.31626,20.98488,AX
Hummersö,60.00197,20.35661,AX
Högbolstad,60.20734,20.08565,AX
