City,Latitude,Longitude,Country Code
Banja Luka,44.77842,17.19386,BA
Sarajevo,43.84864,18.35644,BA
Zenica,44.20169,17.90397,BA
Tuzla,44.53842,18.66709,BA
Mostar,43.34333,17.80806,BA
Brčko,44.86995,18.81012,BA
Bihać,44.81694,15.87083,BA
Bugojno,44.05722,17.45083,BA
Bijeljina,44.75874,19.21437,BA
Lukavac,44.54245,18.52618,BA
Goražde,43.66795,18.97564,BA
Visoko,43.98889,18.17806,BA
Prijedor,44.97991,16.71401,BA
Trebinje,42.71197,18.34362,BA
Travnik,44.22637,17.66583,BA
Srebrenica,44.10748,19.29669,BA
Međugorje,43.19576,17.67554,BA
Livno,43.82695,17.00746,BA
Derventa,44.97839,17.90779,BA
Cazin,44.96694,15.94306,BA
Bosanski Brod,45.13747,17.98722,BA
Bosanska Krupa,44.8825,16.15139,BA
Gradiška,45.14484,17.25453,BA
Bileća,42.87645,18.42967,BA
Gradačac,44.87851,18.42764,BA
Gračanica,44.70307,18.3101,BA
Gorica,43.41833,17.285,BA
Foča,43.50646,18.77854,BA
Tomislavgrad,43.71849,17.22515,BA
Doboj,44.73179,18.08698,BA
