City,Latitude,Longitude,Country Code
Bridgetown,13.10732,-59.62021,BB
Speightstown,13.25072,-59.64396,BB
Oistins,13.07067,-59.54637,BB
Crane,13.10487,-59.44861,BB
Holetown,13.18672,-59.63808,BB
Bathsheba,13.21133,-59.52596,BB
Crab Hill,13.3196,-59.63831,BB
Greenland,13.25808,-59.57763,BB
Hillaby,13.21288,-59.58838,BB
Blackmans,13.18501,-59.54519,BB
Hastings,13.07513,-59.59688,BB
Checker Hall,13.28445,-59.64223,BB
Workhall,13.12571,-59.45603,BB
Woodbourne,13.10356,-59.48989,BB
Wildey,13.09385,-59.5834,BB
White Hill,13.21373,-59.58111,BB
Welchman Hall,13.18676,-59.57663,BB
Welches,13.068,-59.55223,BB
Warrens,13.14537,-59.60592,BB
Venture,13.18774,-59.52575,BB
Two Mile Hill,13.1045,-59.58534,BB
Sunbury,13.1259,-59.48298,BB
Six Mens,13.26788,-59.64313,BB
Sherbourne,13.1815,-59.52101,BB
Scarborough,13.06234,-59.53948,BB
Saint Martins,13.09494,-59.47054,BB
Saint Lawrence,13.07066,-59.57922,BB
Rock Hall,13.23786,-59.59965,BB
Pie Corner,13.30539,-59.58665,BB
Mile and a Quarter,13.26597,-59.62207,BB
