City,Latitude,Longitude,Country Code
Dhaka,23.7104,90.40744,BD
Khulna,22.80979,89.56439,BD
Chittagong,22.3384,91.83168,BD
Rajshahi,24.374,88.60114,BD
Rangpur City,25.74664,89.25166,BD
Comilla,23.46186,91.18503,BD
Barishal,22.70497,90.37013,BD
Tongi,23.89154,90.40232,BD
Sylhet,24.89904,91.87198,BD
Shibganj,25.00146,89.32266,BD
Narsingdi,23.92298,90.71768,BD
Mymensingh,24.75636,90.40646,BD
Natore,24.41112,88.98673,BD
Gazipur,23.99844,90.42234,BD
Hāthazāri,22.50515,91.81339,BD
Cox’s Bāzār,21.43973,92.00955,BD
Bhola District,22.68759,90.64403,BD
Rāngāmāti,22.64317,92.19186,BD
Jessore,23.16971,89.21371,BD
Pābna,24.00644,89.2372,BD
Tāngāil,24.24984,89.91655,BD
Bogra,24.85098,89.37108,BD
Sherpur,25.01881,90.01751,BD
Savar Upazila,23.84858,90.25002,BD
Farīdpur,23.60612,89.84064,BD
Dinajpur,25.62745,88.63779,BD
Nogor Noluakot,24.15608,90.7728,BD
Mohāmmadpur,24.89843,88.52844,BD
Sirajganj,24.45771,89.70802,BD
Shāhzādpur,24.17687,89.5988,BD
