City,Latitude,Longitude,Country Code
Brussels,50.85045,4.34878,BE
Antwerp,51.22047,4.40026,BE
Liège,50.63373,5.56749,BE
Ghent,51.05,3.71667,BE
Charleroi,50.41136,4.44448,BE
Namur,50.4669,4.86746,BE
Bruges,51.20892,3.22424,BE
Anderlecht,50.83619,4.31454,BE
Leuven,50.87959,4.70093,BE
Mons,50.45413,3.95229,BE
Mechelen,51.02574,4.47762,BE
La Louvière,50.48657,4.18785,BE
Kortrijk,50.82803,3.26487,BE
Ixelles-Elsene,50.83333,4.36667,BE
Uccle,50.80225,4.33943,BE
Schaarbeek,50.86935,4.37737,BE
Hasselt,50.93106,5.33781,BE
Saint-Josse-ten-Noode,50.8538,4.37282,BE
Saint-Gilles,50.82763,4.34389,BE
Roeselare,50.94653,3.12269,BE
Ostend,51.21551,2.927,BE
Molenbeek-Saint-Jean,50.8499,4.31248,BE
Mol,51.19188,5.11662,BE
Menen,50.79722,3.12245,BE
Maaseik,51.09802,5.78379,BE
Lommel,51.23074,5.31349,BE
Jette,50.87309,4.33419,BE
Ieper,50.85114,2.88569,BE
Woluwe-Saint-Lambert,50.84389,4.42912,BE
Wavre,50.71717,4.60138,BE
