City,Latitude,Longitude,Country Code
Ouagadougou,12.36566,-1.53388,BF
Bobo-Dioulasso,11.17715,-4.2979,BF
Banfora,10.63333,-4.76667,BF
Ouahigouya,13.58278,-2.42158,BF
Koudougou,12.25263,-2.36272,BF
Dédougou,12.46338,-3.46075,BF
Tenkodogo,11.78,-0.36972,BF
Kaya,13.09167,-1.08444,BF
Ziniaré,12.58186,-1.2971,BF
Fada N'gourma,12.06157,0.35843,BF
Dori,14.0341,-0.03261,BF
Saaba,12.37136,-1.41468,BF
Pouytenga,12.25162,-0.42565,BF
Manga,11.66361,-1.07306,BF
Léo,11.10033,-2.10654,BF
Kongoussi,13.32583,-1.53472,BF
Houndé,11.5,-3.51667,BF
Gaoua,10.33137,-3.18202,BF
Djibo,14.0994,-1.62554,BF
Diébougou,10.96209,-3.24967,BF
Dano,11.1464,-3.05784,BF
Gomboussougou,11.42611,-0.77278,BF
Boussé,12.66121,-1.89515,BF
Bourzanga,13.67806,-1.54611,BF
Boulsa,12.66664,-0.57469,BF
Boromo,11.74542,-2.93006,BF
Bittou,11.25806,-0.30611,BF
Béguédo,11.78083,-0.73389,BF
Bama,12.0357,-4.3987,BF
Aribinda,14.22963,-0.86537,BF
