City,Latitude,Longitude,Country Code
Sofia,42.69751,23.32415,BG
Varna,43.21667,27.91667,BG
Plovdiv,42.15,24.75,BG
Stara Zagora,42.43278,25.64194,BG
Rousse,43.84872,25.9534,BG
Burgas,42.50606,27.46781,BG
Sliven,42.68583,26.32917,BG
Pleven,43.41667,24.61667,BG
Dobrich,43.56667,27.83333,BG
Pernik,42.6,23.03333,BG
Vratsa,43.21,23.5625,BG
Veliko Tarnovo,43.08124,25.62904,BG
Targovishte,43.2512,26.57215,BG
Shumen,43.27064,26.92286,BG
Gabrovo,42.87472,25.33417,BG
Blagoevgrad,42.01667,23.1,BG
Pazardzhik,42.2,24.33333,BG
Lovech,43.13333,24.71667,BG
Kardzhali,41.65,25.36667,BG
Haskovo,41.93415,25.55557,BG
Yambol,42.48333,26.5,BG
Vidin,43.99159,22.88236,BG
Smolyan,41.57439,24.71204,BG
Silistra,44.1171,27.26056,BG
Razgrad,43.53333,26.51667,BG
Nesebar,42.65921,27.73602,BG
Montana,43.4125,23.225,BG
Kyustendil,42.28389,22.69111,BG
Tryavna,42.86667,25.5,BG
Sistov,43.61875,25.35033,BG
