City,Latitude,Longitude,Country Code
Manama,26.22787,50.58565,BH
Al Muharraq,26.25722,50.61194,BH
Riffa,26.13,50.555,BH
Hamad Town,26.11528,50.50694,BH
Dār Kulayb,26.06861,50.50389,BH
Sitrah,26.15472,50.62056,BH
Isa Town,26.17361,50.54778,BH
Jidd Ḩafş,26.21861,50.54778,BH
Al Ḩadd,26.24556,50.65417,BH
Sanābis,26.22722,50.55083,BH
Galali,26.27333,50.65028,BH
Zallaq,26.0475,50.48639,BH
Awali,26.08444,50.55056,BH
Shakhura,26.21472,50.50694,BH
Ar Rumaythah,25.92043,50.55583,BH
Al Qaryah,26.18278,50.58361,BH
Al Mamţalah,25.92417,50.51944,BH
Jasra,26.16222,50.44917,BH
Budaiya,26.21306,50.45,BH
Umm ash Shajar,26.22833,50.65583,BH
Tūblī,26.18694,50.54944,BH
Sufala,26.16278,50.62556,BH
Sanad,26.15028,50.58194,BH
Salmābād,26.18306,50.52472,BH
Marqūbān,26.16417,50.61833,BH
Karrānah,26.22917,50.50944,BH
Karbābād,26.23028,50.52944,BH
Jurdāb,26.16944,50.57528,BH
Jaww,25.99861,50.61667,BH
Jannūsān,26.23056,50.49472,BH
