City,Latitude,Longitude,Country Code
Bujumbura,-3.38193,29.36142,BI
Gitega,-3.42708,29.92463,BI
Rumonge,-3.9736,29.4386,BI
Bubanza,-3.0804,29.391,BI
Ngozi,-2.9075,29.8306,BI
Makamba,-4.1348,29.804,BI
Bururi,-3.94877,29.62438,BI
Ruyigi,-3.47639,30.24861,BI
Karuzi,-3.10139,30.16278,BI
Cibitoke,-2.8869,29.1248,BI
Kayanza,-2.9221,29.6293,BI
Muyinga,-2.8451,30.3414,BI
Kirundo,-2.5845,30.0959,BI
Rutana,-3.9279,29.992,BI
Mwaro,-3.51128,29.70334,BI
Gatumba,-3.33333,29.25,BI
Isale,-3.3489,29.4839,BI
Muramvya,-3.2682,29.6079,BI
Cankuzo,-3.2186,30.5528,BI
Mabanda,-4.2743,29.7749,BI
Matana,-3.76664,29.68296,BI
Gahama,-4.0174,29.6618,BI
Murehe,-4.0284,29.7124,BI
Binyuro,-4.0547,29.623,BI
Vyanda,-4.1024,29.606,BI
Buta,-3.9565,29.7108,BI
Gisozi,-3.5736,29.6789,BI
Mugamba,-3.6664,29.5855,BI
Musongati,-3.7289,30.1011,BI
Kinyinya,-3.6581,30.3427,BI
