City,Latitude,Longitude,Country Code
Abomey-Calavi,6.44852,2.35566,BJ
Porto-Novo,6.49646,2.60359,BJ
Parakou,9.33716,2.63031,BJ
Cotonou,6.36536,2.41833,BJ
Abomey,7.18286,1.99119,BJ
Kandi,11.13417,2.93861,BJ
Djougou,9.70853,1.66598,BJ
Ouidah,6.36307,2.08506,BJ
Natitingou,10.30416,1.37962,BJ
Savalou,7.92807,1.97558,BJ
Sakété,6.73618,2.65866,BJ
Péhonko,10.22746,2.00192,BJ
Nikki,9.94009,3.21075,BJ
Lokossa,6.63869,1.71674,BJ
Godomè,6.38948,2.34581,BJ
Ekpé,6.39209,2.53725,BJ
Dogbo,6.79911,1.78073,BJ
Bohicon,7.17826,2.0667,BJ
Ouaké,9.66167,1.38472,BJ
Zé,6.78333,2.3,BJ
Toviklin,6.88935,1.83722,BJ
Toukountouna,10.50279,1.37437,BJ
Tori-Bossito,6.50302,2.1441,BJ
Tchaourou,8.88649,2.59753,BJ
Tanguiéta,10.62118,1.26651,BJ
Sinendé,10.34963,2.37906,BJ
Ségbana,10.92821,3.69429,BJ
Savé,8.03424,2.4866,BJ
Pobé,6.98008,2.6649,BJ
Pèrèrè,9.79721,2.98403,BJ
