City,Latitude,Longitude,Country Code
Gustavia,17.89618,-62.84978,BL
Toiny,17.89744,-62.79965,BL
Saint-Jean,17.89871,-62.83699,BL
Quartier du Roi,17.9095,-62.8458,BL
Quartier de Lorient,17.90516,-62.82257,BL
Public,17.9059,-62.85144,BL
Petit Cul-de-Sac,17.90256,-62.79639,BL
Marigot,17.90985,-62.81468,BL
Lurin,17.89372,-62.84319,BL
Le Gouverneur,17.88777,-62.83867,BL
La Grande Saline,17.89472,-62.827,BL
Grand Fond,17.89523,-62.81198,BL
Grand Cul-de-Sac,17.90962,-62.80427,BL
Corossol,17.90857,-62.85563,BL
Colombier,17.91436,-62.85949,BL
Anse des Flamands,17.91774,-62.8575,BL
Vitet,17.90436,-62.80977,BL
Devet,17.90015,-62.80227,BL
Camaruche,17.90713,-62.81936,BL
Mont Jean,17.91385,-62.80975,BL
Pointe Milou,17.91568,-62.81574,BL
Carénage,17.89761,-62.83791,BL
Terre Neuve,17.9154,-62.85522,BL
Merlette,17.91391,-62.85176,BL
Anse des Lézards,17.91578,-62.84508,BL
La Petite Saline,17.90092,-62.82282,BL
La Pointe,17.89757,-62.85252,BL
Anse des Cayes,17.91667,-62.85,BL
Caribe Frances,17.89589,-62.85207,BL
