City,Latitude,Longitude,Country Code
Hamilton,32.2949,-64.78303,BM
Saint George,32.38167,-64.67806,BM
Cross Bay,32.25346,-64.83882,BM
Stovel Bay,32.30587,-64.81429,BM
Tucker’s Town,32.33278,-64.68806,BM
Flatt’s Village,32.32094,-64.74016,BM
Somerset,32.29833,-64.86833,BM
Pembroke Parish,32.30019,-64.79204,BM
Warwick Camp,32.25722,-64.81611,BM
Harrington Hundreds,32.31861,-64.72889,BM
Sunnyside,32.32639,-64.74111,BM
Scotts Hill,32.29722,-64.86556,BM
North Shore Village,32.30639,-64.77361,BM
Mount Pleasant,32.27417,-64.78361,BM
Melrose,32.36845,-64.67739,BM
Hog Bay,32.27111,-64.88,BM
Hinson Hall,32.31361,-64.74361,BM
Hill View,32.26944,-64.80889,BM
Chelston,32.28361,-64.77056,BM
Cashew City,32.37028,-64.65444,BM
Camden,32.29417,-64.76056,BM
Bethaven,32.28333,-64.75,BM
Darrell's Wharf Ferry Stop,32.28096,-64.79591,BM
