City,Latitude,Longitude,Country Code
Bandar Seri Begawan,4.89035,114.94006,BN
Kuala Belait,4.58361,114.2312,BN
Tutong,4.80278,114.64917,BN
Seria,4.60637,114.32476,BN
Kapok,5.02447,115.04664,BN
Bangar,4.70861,115.07167,BN
Kampung Sungai Teraban,4.58445,114.18117,BN
Liang,4.67747,114.49587,BN
Serasa,5.01761,115.05798,BN
Sengkurong,4.88333,114.83333,BN
Mentiri,4.97058,115.02078,BN
Sungai Hanching,4.96806,114.97753,BN
Salambigar,4.97877,114.9878,BN
Kampong Rimba,4.91667,114.9,BN
Rambai,4.63882,114.65148,BN
Pengkalan Batu,4.78333,114.83333,BN
Pad Nunok,4.71749,114.72825,BN
Madewa,4.85583,114.89512,BN
Lamunin,4.6816,114.71537,BN
Kampong Kiajong,4.88896,114.91912,BN
Katok,4.91619,114.89353,BN
Kampong Jerudong,4.95,114.85,BN
Sukang,4.31667,114.61667,BN
Rasau,4.55,114.21667,BN
Panaga,4.6,114.28333,BN
Brooketon,5.02699,115.06913,BN
Melilas,4.23333,114.66667,BN
Labi,4.38333,114.43333,BN
Kuala Balai,4.45,114.31667,BN
Telisai,4.73558,114.56324,BN
