City,Latitude,Longitude,Country Code
Sucre,-19.03332,-65.26274,BO
Santa Cruz,-17.78629,-63.18117,BO
Cochabamba,-17.3895,-66.1568,BO
La Paz,-16.5,-68.15,BO
Tarija,-21.53549,-64.72956,BO
Potosí,-19.58361,-65.75306,BO
Oruro,-17.98333,-67.15,BO
Sacaba,-17.39799,-66.03825,BO
Quillacollo,-17.39228,-66.27838,BO
Trinidad,-14.83333,-64.9,BO
Riberalta,-11.01026,-66.05257,BO
Cobija,-11.02671,-68.76918,BO
Montero,-17.33874,-63.25093,BO
Yacuiba,-22.01643,-63.67753,BO
Vinto,-17.39141,-66.31681,BO
Villazón,-22.08659,-65.59422,BO
Villamontes,-21.26235,-63.46903,BO
Viacha,-16.65,-68.3,BO
Tiquipaya,-17.33801,-66.21579,BO
Tiwanaku,-16.55228,-68.67953,BO
Guayaramerín,-10.8258,-65.3581,BO
Colcapirhua,-17.3857,-66.23814,BO
Camiri,-20.04063,-63.52396,BO
Puerto Suárez,-18.96722,-57.80127,BO
Puerto Quijarro,-17.78333,-57.76667,BO
Warnes,-17.5163,-63.16778,BO
Villa Yapacaní,-17.4,-63.83333,BO
Vallegrande,-18.48887,-64.10827,BO
Uyuni,-20.45967,-66.82503,BO
Tupiza,-21.44345,-65.71875,BO
