City,Latitude,Longitude,Country Code
Kralendijk,12.15,-68.26667,BQ
Oranjestad,17.48303,-62.9864,BQ
Upper Hell's Gate,17.643,-63.22649,BQ
Dorp Tera Kora,12.13728,-68.26039,BQ
Dorp Rincon,12.23762,-68.33059,BQ
Dorp Antriol,12.16631,-68.27042,BQ
The Bottom,17.62652,-63.24971,BQ
Golden Rock,17.49142,-62.98119,BQ
Windward Side,17.62864,-63.23136,BQ
Saint John's Flat,17.62059,-63.2434,BQ
Dorp Nor’i Saliña,12.17597,-68.27492,BQ
Dorp Nikiboko,12.14444,-68.26121,BQ
Boven Bolivia,12.18619,-68.21507,BQ
Kas Korá,12.17164,-68.23188,BQ
The Level,17.62614,-63.22723,BQ
The Gap,17.62987,-63.25328,BQ
Santa Krus,12.23869,-68.36543,BQ
Roozendaal,12.14362,-68.26861,BQ
Republiek,12.14727,-68.25982,BQ
Onima,12.248,-68.31216,BQ
Lower Hell's Gate,17.63969,-63.22992,BQ
Leeuwarden,12.22435,-68.27295,BQ
Kuruburu,12.19666,-68.26219,BQ
Kokorobí,12.23142,-68.32729,BQ
Jan Doran,12.21667,-68.35,BQ
Hoop,12.12352,-68.28734,BQ
English Quarter,17.63243,-63.22898,BQ
Dorp Sabana,12.14909,-68.26954,BQ
Crispeen,17.62571,-63.24167,BQ
Concordia,17.49296,-62.97858,BQ
