City,Latitude,Longitude,Country Code
Nassau,25.05823,-77.34306,BS
West End,26.68711,-78.97702,BS
Lucaya,26.53333,-78.66667,BS
Freeport,26.53333,-78.7,BS
San Andros,25.06667,-78.05,BS
George Town,23.51616,-75.78665,BS
Marsh Harbour,26.54124,-77.0636,BS
Cooper’s Town,26.87137,-77.51131,BS
High Rock,26.62651,-78.28209,BS
Andros Town,24.70502,-77.76912,BS
Spanish Wells,25.54717,-76.76405,BS
Clarence Town,23.1,-74.98333,BS
Arthur’s Town,24.6224,-75.67151,BS
Matthew Town,20.94982,-73.67346,BS
Governor’s Harbour,25.16667,-76.23333,BS
Dunmore Town,25.50216,-76.63633,BS
Colonel Hill,22.7545,-74.20415,BS
Cockburn Town,24.05179,-74.53138,BS
Black Point,24.1,-76.38333,BS
Alice Town,25.728,-79.29721,BS
Abraham’s Bay,22.36667,-72.96667,BS
Wemyss Bight,24.75,-76.25,BS
The Bluff,25.49907,-76.72337,BS
Sweeting Cay,26.61334,-77.86931,BS
Snug Corner,22.55501,-73.87829,BS
Port Nelson,23.64967,-74.84157,BS
Pirates Well,22.43071,-73.09457,BS
Pinders Point,26.48333,-78.68333,BS
Nicholl’s Town,25.14534,-78.0016,BS
Masons Bay,22.54352,-73.8778,BS
