City,Latitude,Longitude,Country Code
Thimphu,27.46609,89.64191,BT
Phuntsholing,26.85164,89.38837,BT
Punakha,27.59137,89.87743,BT
Paro,27.4305,89.41334,BT
Tsirang,27.0219,90.12291,BT
Pemagatshel,27.03795,91.40305,BT
Sarpang,26.86395,90.26745,BT
Jakar,27.54918,90.7525,BT
Samdrup Jongkhar,26.80069,91.50519,BT
Wangdue Phodrang,27.48615,89.89915,BT
Samtse,26.89903,89.09951,BT
Trongsa,27.5026,90.50716,BT
Trashi Yangtse,27.6116,91.498,BT
Trashigang,27.3331,91.55424,BT
Daga,27.07529,89.87688,BT
Mongar,27.27471,91.23963,BT
Ha,27.38747,89.28074,BT
Tsimasham,27.0989,89.53604,BT
Panbang,26.86667,90.98333,BT
Laya,28.0613,89.6826,BT
Tashi Chho Dzong,27.48333,89.61667,BT
Shemgang,27.21689,90.65793,BT
Pajo,27.53333,89.88333,BT
Lhuentse,27.66787,91.18393,BT
Gelyephug,26.86833,90.48778,BT
Daphu,26.96667,89.38333,BT
Kurjey,27.61667,90.7,BT
Nangnang,27.6,90.88333,BT
Nganglam,26.78333,91.25,BT
Chengmari,26.935,89.041,BT
