City,Latitude,Longitude,Country Code
Gaborone,-24.65451,25.90859,BW
Maun,-19.98333,23.41667,BW
Francistown,-21.17,27.50778,BW
Serowe,-22.38754,26.71077,BW
Molepolole,-24.40659,25.49508,BW
Mochudi,-24.41667,26.15,BW
Tshabong,-26.05,22.45,BW
Selebi-Phikwe,-21.97895,27.84296,BW
Palapye,-22.54605,27.12507,BW
Kanye,-24.96675,25.33273,BW
Ghanzi,-21.69785,21.64581,BW
Tlokweng,-24.66861,25.97111,BW
Ramotswa,-24.87158,25.86989,BW
Mogoditshane,-24.62694,25.86556,BW
Mahalapye,-23.10407,26.81421,BW
Lobatse,-25.22435,25.67728,BW
Kasane,-17.80165,25.16024,BW
Jwaneng,-24.60167,24.72806,BW
Tonota,-21.44236,27.46153,BW
Thamaga,-24.67014,25.53975,BW
Shakawe,-18.36536,21.84219,BW
Mosopa,-24.7718,25.42156,BW
Letlhakane,-21.41494,25.59263,BW
Kopong,-24.48333,25.88333,BW
Gabane,-24.66667,25.78222,BW
Bobonong,-21.96554,28.43625,BW
Mmopone,-24.56694,25.87417,BW
Tutume,-20.4943,27.03479,BW
Tati Siding,-21.27345,27.49002,BW
Oodi,-24.57306,26.03389,BW
