City,Latitude,Longitude,Country Code
Homyel,52.4345,30.9754,BY
Minsk,53.9,27.56667,BY
Brest,52.09755,23.68775,BY
Mogilev,53.9168,30.3449,BY
Hrodna,53.6884,23.8258,BY
Vitebsk,55.1904,30.2049,BY
Baranovichi,53.13253,26.00774,BY
Babruysk,53.14636,29.20552,BY
Borisov,54.2279,28.505,BY
Pinsk,52.12153,26.06726,BY
Lida,53.88333,25.29972,BY
Salihorsk,52.78981,27.53583,BY
Polatsk,55.4879,28.7856,BY
Orsha,54.51362,30.40365,BY
Navapolatsk,55.52618,28.59308,BY
Mazyr,52.04162,29.21631,BY
Slutsk,53.01522,27.54159,BY
Slonim,53.08751,25.31707,BY
Kobryn,52.21173,24.3563,BY
Dzyarzhynsk,53.68477,27.13171,BY
Navahrudak,53.5942,25.8191,BY
Maladzyechna,54.3167,26.854,BY
Damachava,51.75,23.6,BY
Chavusi,53.80737,30.96584,BY
Bykhaw,53.52131,30.23078,BY
Ashmyany,54.41815,25.93734,BY
Vawkavysk,53.1561,24.4513,BY
Svyetlahorsk,52.6329,29.7389,BY
Stowbtsy,53.47994,26.7351,BY
Stolin,51.89115,26.84597,BY
