City,Latitude,Longitude,Country Code
Belize City,17.49952,-88.19756,BZ
Belmopan,17.25,-88.76667,BZ
San Ignacio,17.1588,-89.0696,BZ
Orange Walk,18.08124,-88.56328,BZ
Corozal,18.39375,-88.38849,BZ
San Pedro Town,17.91598,-87.9659,BZ
"Dangriga Town, Dangriga",16.9697,-88.23313,BZ
Punta Gorda,16.09835,-88.8097,BZ
Benque Viejo el Carmen,17.075,-89.13917,BZ
Ladyville,17.55427,-88.29,BZ
Placencia,16.51419,-88.36647,BZ
Progresso,18.23085,-88.41073,BZ
Little Belize,18.198,-88.40792,BZ
Independence,16.5344,-88.41878,BZ
Esperanza,17.17453,-89.04415,BZ
Caye Caulker,17.73659,-88.02761,BZ
Carmelita,18.01306,-88.5429,BZ
Xaibe,18.38654,-88.43393,BZ
Shipyard,17.89382,-88.65452,BZ
Sarteneja,18.35334,-88.14541,BZ
Santa Familia,17.18594,-89.07435,BZ
San Narciso,18.30396,-88.52085,BZ
San Jose Soccoths,17.08454,-89.13007,BZ
San Jose,18.1958,-88.57121,BZ
San Felipe,17.873,-88.77334,BZ
San Antonio,16.24361,-89.02417,BZ
Valley of Peace,17.33472,-88.83472,BZ
Roaring Creek,17.25947,-88.79617,BZ
Retiro,16.71861,-89.14028,BZ
Rancho Dolores,17.53569,-88.6285,BZ
