City,Latitude,Longitude,Country Code
Calgary,51.05011,-114.08529,CA
Toronto,43.70643,-79.39864,CA
Edmonton,53.55014,-113.46871,CA
Ottawa,45.41117,-75.69812,CA
Montreal,45.50884,-73.58781,CA
Winnipeg,49.8844,-97.14704,CA
Mississauga,43.5789,-79.6583,CA
Vancouver,49.24966,-123.11934,CA
Québec,46.81228,-71.21454,CA
Brampton,43.68341,-79.76633,CA
Charlottetown,46.23459,-63.1256,CA
Saguenay,48.41675,-71.06573,CA
Saskatoon,52.13238,-106.66892,CA
Thunder Bay,48.38202,-89.25018,CA
Trois-Rivières,46.34515,-72.5477,CA
Sudbury,46.49,-80.99001,CA
Hamilton,43.25011,-79.84963,CA
Fredericton,45.94541,-66.66558,CA
Gatineau,45.47723,-75.70164,CA
Windsor,42.30008,-83.01654,CA
Whitehorse,60.71611,-135.05375,CA
Regina,50.45008,-104.6178,CA
London,42.98339,-81.23304,CA
Moncton,46.09454,-64.7965,CA
Kelowna,49.88307,-119.48568,CA
Kingston,44.22976,-76.48098,CA
Victoria,48.4359,-123.35155,CA
Halifax,44.64269,-63.57688,CA
St. John's,47.56494,-52.70931,CA
Brantford,43.1334,-80.26636,CA
