City,Latitude,Longitude,Country Code
Kinshasa,-4.32758,15.31357,CD
Kisangani,0.51528,25.19099,CD
Kananga,-5.89624,22.41659,CD
Lubumbashi,-11.66089,27.47938,CD
Masina,-4.38361,15.39139,CD
Kindu,-2.94373,25.92237,CD
Mbuji-Mayi,-6.13603,23.58979,CD
Goma,-1.67409,29.22845,CD
Bunia,1.55941,30.25224,CD
Bukavu,-2.49077,28.84281,CD
Mbandaka,0.04865,18.26034,CD
Matadi,-5.83861,13.46306,CD
Bandundu Province,-3.31687,17.38063,CD
Kamina,-8.73508,24.99798,CD
Kalemie,-5.94749,29.19471,CD
Isiro,2.77391,27.61603,CD
Tshikapa,-6.41621,20.79995,CD
Kikwit,-5.04098,18.81619,CD
Gemena,3.25651,19.77234,CD
Boma,-5.85098,13.05364,CD
Likasi,-10.98303,26.7384,CD
Kolwezi,-10.71484,25.46674,CD
Lodja,-3.52105,23.6005,CD
Lisala,2.15127,21.51672,CD
Kasongo,-4.42741,26.66656,CD
Kabinda,-6.13791,24.48179,CD
Uvira,-3.39534,29.13779,CD
Mwene-Ditu,-7.00906,23.45278,CD
Moba,-7.08408,29.73681,CD
Ilebo,-4.33111,20.58638,CD
