City,Latitude,Longitude,Country Code
Bangui,4.36122,18.55496,CF
Bambari,5.76795,20.67565,CF
Carnot,4.94273,15.87735,CF
Bouar,5.93404,15.59599,CF
Bimbo,4.25671,18.41583,CF
Berbérati,4.26116,15.79216,CF
Bria,6.54233,21.98633,CF
Bangassou,4.74132,22.81838,CF
Kaga-Bandoro,6.98961,19.18744,CF
Bossangoa,6.49263,17.45518,CF
Obo,5.39586,26.49211,CF
Ndélé,8.41091,20.64728,CF
Bozoum,6.31933,16.37992,CF
Batangafo,7.30082,18.2833,CF
Sibut,5.71801,19.07389,CF
Paoua,7.24269,16.44059,CF
Nola,3.52494,16.04583,CF
Mbaïki,3.86781,17.98923,CF
Zemio,5.03144,25.13614,CF
Ouadda,8.07771,22.40075,CF
Mobaye,4.31902,21.17861,CF
Ippy,6.26793,21.22468,CF
Grimari,5.73948,20.05564,CF
Birao,10.28488,22.78818,CF
Alindao,5.02667,21.20876,CF
Kabo,7.69937,18.62903,CF
Gamboula,4.11775,15.13926,CF
Dekoa,6.32229,19.07922,CF
Bouca,6.50734,18.2767,CF
Bossembélé,5.26667,17.65,CF
