City,Latitude,Longitude,Country Code
Brazzaville,-4.26613,15.28318,CG
Kayes,-4.20493,13.28608,CG
Pointe-Noire,-4.77609,11.86352,CG
Dolisie,-4.19834,12.66664,CG
Loandjili,-4.75611,11.85778,CG
Sibiti,-3.68192,13.34985,CG
Owando,-0.48193,15.89988,CG
Impfondo,1.61804,18.05981,CG
Etoumbi,0.02889,14.90556,CG
Ouésso,1.61361,16.05167,CG
Bouansa,-4.21861,13.76167,CG
Kinkala,-4.36139,14.76444,CG
Ewo,-0.8725,14.82056,CG
Djambala,-2.54472,14.75333,CG
Nkayi,-4.18396,13.2859,CG
Souanké,2.05966,14.13219,CG
Mossendjo,-2.94968,12.70423,CG
Mossaka,-1.21982,16.79921,CG
Mouyondzi,-3.99437,13.92719,CG
Makoua,0.00694,15.63333,CG
Madingou,-4.15361,13.55,CG
Loutété,-4.29611,13.85083,CG
Loango,-4.65194,11.8125,CG
Gamboma,-1.87639,15.86444,CG
Dongou,2.04806,18.05472,CG
Boundji,-1.02605,15.35914,CG
Bétou,3.055,18.51722,CG
Oyo,-1.165,15.97,CG
Zanaga,-2.85028,13.82611,CG
Ngo,-2.48722,15.75556,CG
