City,Latitude,Longitude,Country Code
Zurich,47.36667,8.55,CH
Bern,46.94809,7.44744,CH
Basel,47.55839,7.57327,CH
Lucerne,47.05048,8.30635,CH
Lausanne,46.516,6.63282,CH
Geneva,46.20222,6.14569,CH
Winterthur,47.50564,8.72413,CH
St. Gallen,47.42391,9.37477,CH
Lugano,46.01008,8.96004,CH
Schaffhausen,47.69732,8.63493,CH
Biel/Bienne,47.13713,7.24608,CH
Bellinzona,46.19278,9.01703,CH
Aarau,47.39254,8.04422,CH
Fribourg,46.80237,7.15128,CH
Chur,46.84986,9.53287,CH
Thun,46.75118,7.62166,CH
Solothurn,47.20791,7.53714,CH
Sion,46.22739,7.35559,CH
Schwyz,47.02076,8.65414,CH
Neuchâtel,46.99179,6.931,CH
Baden,47.47333,8.30592,CH
Altdorf,46.88042,8.64441,CH
Zug,47.17242,8.51745,CH
Montreux,46.43301,6.91143,CH
Liestal,47.48455,7.73446,CH
Köniz,46.92436,7.41457,CH
Herisau,47.38615,9.27916,CH
Glarus,47.04057,9.06804,CH
Frauenfeld,47.55776,8.89893,CH
Delémont,47.36493,7.34453,CH
