City,Latitude,Longitude,Country Code
Abidjan,5.35444,-4.00167,CI
Bouaké,7.69385,-5.03031,CI
Abobo,5.41613,-4.0159,CI
Korhogo,9.45803,-5.62961,CI
San-Pédro,4.74851,-6.6363,CI
Daloa,6.87735,-6.45022,CI
Yamoussoukro,6.82055,-5.27674,CI
Man,7.41251,-7.55383,CI
Marcory,5.31198,-3.99363,CI
Sinfra,6.62103,-5.91144,CI
Séguéla,7.96111,-6.67306,CI
Gagnoa,6.13193,-5.9506,CI
Bondoukou,8.0402,-2.80003,CI
Abengourou,6.72972,-3.49639,CI
Koumassi,5.29716,-3.96753,CI
Grand-Bassam,5.2118,-3.73884,CI
Odienné,9.50511,-7.56433,CI
Divo,5.83739,-5.35723,CI
Dimbokro,6.64678,-4.70519,CI
Daoukro,7.0591,-3.9631,CI
Dabou,5.32556,-4.37685,CI
Agboville,5.92801,-4.21319,CI
Bonon,6.9268,-6.0489,CI
Soubré,5.78377,-6.59388,CI
Zagné,6.21016,-7.48284,CI
Ferkessédougou,9.5928,-5.19449,CI
Duekoué,6.74202,-7.34918,CI
Vavoua,7.38194,-6.47778,CI
Sassandra,4.95384,-6.08531,CI
Danané,7.25957,-8.15498,CI
