City,Latitude,Longitude,Country Code
Avarua,-21.2075,-159.77546,CK
Amuri,-18.85195,-159.79293,CK
Omoka,-8.97982,-158.05307,CK
Mangarei,-19.85961,-157.71801,CK
Tauhunu,-10.42361,-161.03398,CK
Motu Koe,-10.91229,-165.83682,CK
Moto Kavata,-10.89261,-165.86772,CK
Tengatangi Village,-19.99347,-158.1147,CK
Oneroa,-21.92,-157.96028,CK
Ngatangiia,-21.23774,-159.73158,CK
Avatiu,-21.20379,-159.78662,CK
Arutanga,-18.86509,-159.79808,CK
Arorangi District,-21.2395,-159.81807,CK
Te Tautua,-8.95873,-157.92621,CK
Matavera,-21.22444,-159.73333,CK
Tukao,-10.37518,-161.01018,CK
Teenui Village,-19.99273,-158.12265,CK
Palmerston,-18.05525,-163.20884,CK
Titikaveka,-21.27128,-159.75867,CK
Tamarua Village,-21.95045,-157.90799,CK
Ngatiarua Village,-19.99813,-158.12058,CK
Mapumai Village,-19.98909,-158.11942,CK
Ivirua Village,-21.9177,-157.89527,CK
Vaipae,-18.87102,-159.77818,CK
Nukuao,-20.13333,-157.36667,CK
Nukatere,-19.81667,-157.71667,CK
Ngatiarua,-20.15278,-157.34333,CK
Natikitea,-20.01667,-158.11667,CK
Muri,-21.2565,-159.73205,CK
Areora,-19.99926,-158.11609,CK
