City,Latitude,Longitude,Country Code
Santiago,-33.45694,-70.64827,CL
Antofagasta,-23.65236,-70.3954,CL
Valparaíso,-33.036,-71.62963,CL
Port Montt,-41.4693,-72.94237,CL
Puente Alto,-33.61169,-70.57577,CL
Concepción,-36.82699,-73.04977,CL
Viña del Mar,-33.02457,-71.55183,CL
Talcahuano,-36.72494,-73.11684,CL
Temuco,-38.73965,-72.59842,CL
Arica,-18.4746,-70.29792,CL
La Serena,-29.90453,-71.24894,CL
Iquique,-20.21326,-70.15027,CL
San Bernardo,-33.59217,-70.6996,CL
Rancagua,-34.17083,-70.74444,CL
Punta Arenas,-53.15483,-70.91129,CL
Copiapó,-27.36679,-70.3314,CL
Valdivia,-39.81422,-73.24589,CL
Talca,-35.4264,-71.65542,CL
Calama,-22.45667,-68.92371,CL
Los Ángeles,-37.46973,-72.35366,CL
Curicó,-34.98279,-71.23943,CL
Chillán,-36.60664,-72.10344,CL
Alto Hospicio,-20.26871,-70.1049,CL
Osorno,-40.57395,-73.13348,CL
San Antonio,-33.59473,-71.60746,CL
Quilpué,-33.04752,-71.44249,CL
Coronel,-37.03386,-73.14019,CL
Coquimbo,-29.95332,-71.33947,CL
Chiguayante,-36.9256,-73.02841,CL
Villa Alemana,-33.04823,-71.3729,CL
