City,Latitude,Longitude,Country Code
Douala,4.04827,9.70428,CM
Yaoundé,3.86667,11.51667,CM
Ngaoundéré,7.32765,13.58472,CM
Maroua,10.59095,14.31593,CM
Buea,4.15342,9.24231,CM
Bertoua,4.57728,13.68459,CM
Bamenda,5.9597,10.14597,CM
Bafoussam,5.47775,10.41759,CM
Limbe,4.02356,9.20607,CM
Kousséri,12.07689,15.03063,CM
Garoua,9.30143,13.39771,CM
Foumban,5.72662,10.89865,CM
Edéa,3.8,10.13333,CM
Ébolowa,2.9,11.15,CM
Nkongsamba,4.9547,9.9404,CM
Kumbo,6.2,10.66667,CM
Kumba,4.6363,9.4469,CM
Dschang,5.44397,10.05332,CM
Sangmélima,2.93333,11.98333,CM
Mora,11.04611,14.14011,CM
Mokolo,10.74244,13.80227,CM
Melong,5.12181,9.96143,CM
Mbouda,5.62611,10.25421,CM
Mbalmayo,3.51667,11.5,CM
Loum,4.7182,9.7351,CM
Kribi,2.93725,9.90765,CM
Guider,9.9333,13.94671,CM
Foumbot,5.50803,10.6325,CM
Bafia,4.75,11.23333,CM
Bafang,5.15705,10.1771,CM
