City,Latitude,Longitude,Country Code
Beijing,39.9075,116.39723,CN
Shenzhen,22.54554,114.0683,CN
Shanghai,31.22222,121.45806,CN
Guangzhou,23.11667,113.25,CN
Wuhan,30.58333,114.26667,CN
Tianjin,39.14222,117.17667,CN
Chengdu,30.66667,104.06667,CN
Xi'an,34.25833,108.92861,CN
Nanjing,32.06167,118.77778,CN
Zhengzhou,34.75778,113.64861,CN
Shijiazhuang,38.04139,114.47861,CN
Kunming,25.03889,102.71833,CN
Shenyang,41.79222,123.43278,CN
Harbin,45.75,126.65,CN
Changchun,43.88,125.32278,CN
Fuzhou,26.06139,119.30611,CN
Dongguan,23.01797,113.74866,CN
Jinan,36.66833,116.99722,CN
Hefei,31.86389,117.28083,CN
Hangzhou,30.29365,120.16142,CN
Chongqing,29.56026,106.55771,CN
Changsha,28.19874,112.97087,CN
Ürümqi,43.80096,87.60046,CN
Zibo,36.79056,118.06333,CN
Yinchuan,38.46806,106.27306,CN
Xining,36.62554,101.75739,CN
Lanzhou,36.05701,103.83987,CN
Hohhot,40.81056,111.65222,CN
Haikou,20.03421,110.34651,CN
Guiyang,26.58333,106.71667,CN
