City,Latitude,Longitude,Country Code
Bogotá,4.60971,-74.08175,CO
Medellín,6.25184,-75.56359,CO
Santiago de Cali,3.43722,-76.5225,CO
Barranquilla,10.96854,-74.78132,CO
Cúcuta,7.89391,-72.50782,CO
Cartagena,10.39972,-75.51444,CO
Ibagué,4.43889,-75.23222,CO
Bucaramanga,7.12539,-73.1198,CO
Santa Marta,11.24079,-74.19904,CO
Montería,8.74798,-75.88143,CO
Quibdó,5.69188,-76.65835,CO
Yopal,5.33775,-72.39586,CO
Villavicencio,4.142,-73.62664,CO
Valledupar,10.46314,-73.25322,CO
Popayán,2.43823,-76.61316,CO
Pasto,1.21361,-77.28111,CO
Manizales,5.06889,-75.51738,CO
Leticia,-4.21528,-69.94056,CO
Florencia,1.61438,-75.60623,CO
Tunja,5.53528,-73.36778,CO
Sincelejo,9.30472,-75.39778,CO
Riohacha,11.54444,-72.90722,CO
Pereira,4.81333,-75.69611,CO
Neiva,2.9273,-75.28189,CO
Armenia,4.53389,-75.68111,CO
Arauca,7.08471,-70.75908,CO
Itagüí,6.18461,-75.59913,CO
Girardot City,4.30079,-74.80754,CO
Facatativá,4.81367,-74.35453,CO
Envigado,6.17591,-75.59174,CO
