City,Latitude,Longitude,Country Code
San José,9.93333,-84.08333,CR
Puerto Limón,9.99074,-83.03596,CR
Alajuela,10.01625,-84.21163,CR
Puntarenas,9.97691,-84.8379,CR
Liberia,10.63504,-85.43772,CR
San Isidro,9.3674,-83.69713,CR
San Francisco,9.9938,-84.12742,CR
Paraíso,9.83847,-83.86655,CR
Curridabat,9.9139,-84.03595,CR
Cartago,9.86444,-83.91944,CR
San Vicente,9.96194,-84.0494,CR
Heredia,10.00236,-84.11651,CR
Quesada,10.3266,-84.432,CR
Chacarita,9.98424,-84.77892,CR
Canas,10.43105,-85.09825,CR
Buenos Aires,9.17298,-83.33277,CR
Turrialba,9.90371,-83.68361,CR
Santa Cruz,10.26053,-85.5851,CR
San Ramón,10.08802,-84.47022,CR
San Pedro,9.92829,-84.05074,CR
San José,10.95192,-85.13572,CR
San Antonio,9.9816,-84.18592,CR
Nicoya,10.15038,-85.45093,CR
Naranjo,10.09866,-84.37824,CR
Mercedes Norte,10.00611,-84.13018,CR
Guadalupe,9.94805,-84.05665,CR
Escazú,9.91887,-84.13989,CR
San Vicente de Moravia,9.96164,-84.0488,CR
Colón,9.91491,-84.2417,CR
Puerto Cortés,8.96171,-83.52463,CR
