City,Latitude,Longitude,Country Code
Havana,23.13302,-82.38304,CU
Santiago de Cuba,20.02083,-75.82667,CU
Camagüey,21.38083,-77.91694,CU
Holguín,20.88722,-76.26306,CU
Guantánamo,20.14444,-75.20917,CU
Santa Clara,22.40694,-79.96472,CU
Bayamo,20.37417,-76.64361,CU
Las Tunas,20.96167,-76.95111,CU
Pinar del Río,22.41667,-83.69667,CU
Cienfuegos,22.14681,-80.4481,CU
Arroyo Naranjo,23.03811,-82.37703,CU
Matanzas,23.04111,-81.5775,CU
Diez de Octubre,23.0881,-82.3597,CU
Sancti Spíritus,21.92972,-79.4425,CU
Ciego de Ávila,21.84,-78.76194,CU
Nueva Gerona,21.88667,-82.80556,CU
Guanabacoa,23.12518,-82.30067,CU
Cerro,23.10809,-82.3866,CU
Artemisa,22.81667,-82.75944,CU
Trinidad,21.80224,-79.98467,CU
San Miguel del Padrón,23.09544,-82.32669,CU
Manzanillo,20.34173,-77.12126,CU
San Cristobal,22.71658,-83.05647,CU
Puerto Padre,21.19517,-76.60358,CU
Morón,22.10774,-78.62667,CU
Moa,20.65776,-74.95075,CU
Fontanar,23.02389,-82.408,CU
Colón,22.72064,-80.90492,CU
Cárdenas,23.03661,-81.20596,CU
Alamar,23.15794,-82.27837,CU
