City,Latitude,Longitude,Country Code
Praia,14.93152,-23.51254,CV
Santa Cruz,15.13333,-23.56667,CV
Mindelo,16.89014,-24.98042,CV
Vila do Maio,15.13823,-23.21158,CV
São Filipe,14.8961,-24.49556,CV
Sal Rei,16.17611,-22.91722,CV
Cidade Velha,14.91531,-23.60527,CV
Nova Sintra,14.87139,-24.69556,CV
Ribeira Brava,16.61583,-24.29833,CV
Tarrafal de São Nicolau,16.56622,-24.35793,CV
Tarrafal,15.27881,-23.75192,CV
São Domingos,15.02438,-23.5625,CV
Ribeira Grande,17.1825,-25.065,CV
Porto Novo,17.01969,-25.06471,CV
Pombas,17.15026,-25.02007,CV
Picos,15.0836,-23.63236,CV
Calheta,15.18613,-23.59228,CV
Assomada,15.1,-23.68333,CV
Espargos,16.75524,-22.9446,CV
Pedra Badejo,15.1375,-23.53083,CV
Santa Maria,16.59796,-22.90509,CV
Ponta do Sol,17.20171,-25.09217,CV
Cova Figueira,14.89054,-24.29343,CV
João Teves,15.06694,-23.58917,CV
Vinagre,14.86667,-24.7,CV
Vila Nova,14.93333,-23.51667,CV
Vicente Dias,14.88333,-24.46667,CV
Vale da Gusta,14.99049,-23.47253,CV
Tras-os-Montes,15.3,-23.71667,CV
Tarrafal,16.95868,-25.31036,CV
