City,Latitude,Longitude,Country Code
Willemstad,12.12246,-68.88641,CW
Sint Michiel,12.15,-68.98333,CW
Dorp Soto,12.27749,-69.1125,CW
Barber,12.29014,-69.07389,CW
Sabana Westpunt,12.37047,-69.15405,CW
Dorp Sint Willebrordus,12.21537,-69.06246,CW
Lagún,12.32206,-69.15044,CW
Newport,12.05,-68.81667,CW
Brievengat,12.15,-68.9,CW
Sint Jozefsdal,12.28333,-69.08333,CW
Saliña,12.1,-68.9,CW
Otrabanda,12.1089,-68.93826,CW
Montan’i Rei,12.1,-68.86667,CW
Jan Thiel,12.08333,-68.86667,CW
Fortuna Abou,12.16667,-68.91667,CW
Emmastad,12.13333,-68.91667,CW
Zeelandia,12.11667,-68.9,CW
Weis,12.15,-68.93333,CW
Vredeberg,12.09167,-68.85,CW
Suffisant Dorp,12.15,-68.91667,CW
Ser’i Bientu,12.31667,-69.1,CW
Santa Rosa,12.11667,-68.88333,CW
Rust en Vrede,12.11667,-68.9,CW
Roosendaal,12.13333,-68.95,CW
Parera,12.1,-68.91667,CW
Kura Juri,12.35,-69.15,CW
Kas Chikitu,12.11667,-68.96667,CW
Julianadorp,12.15,-68.95,CW
Dorp Sint Michiel,12.13333,-68.98333,CW
Dominguito,12.1,-68.9,CW
