City,Latitude,Longitude,Country Code
Nicosia,35.17531,33.3642,CY
Limassol,34.68406,33.03794,CY
Larnaca,34.92291,33.6233,CY
Famagusta,35.12489,33.94135,CY
Stróvolos,35.14867,33.33384,CY
Paphos,34.77679,32.42451,CY
Kyrenia,35.33634,33.31729,CY
Káto Lakatámeia,35.11755,33.32539,CY
Mórfou,35.19869,32.99338,CY
Kato Polemidia,34.69721,32.99324,CY
Ayia Napa,34.98213,34.00183,CY
Germasogeia,34.72073,33.08447,CY
Xylotymvou,35.01627,33.7435,CY
Xylofagou,34.97743,33.84894,CY
Oroklini,34.98138,33.65648,CY
Tsada,34.83862,32.47499,CY
Tersefanou,34.85408,33.54739,CY
Rizokárpaso,35.59719,34.37916,CY
Psimolofou,35.0625,33.2625,CY
Psevdas,34.94478,33.46072,CY
Frénaros,35.04121,33.92242,CY
Peyia,34.88385,32.38188,CY
Perivolia,34.82894,33.58272,CY
Pergamos,35.04167,33.70833,CY
Paralímni,35.03945,33.98181,CY
Pano Polemidya,34.70559,32.99269,CY
Páno Defterá,35.07778,33.26584,CY
Mouttagiáka,34.72022,33.10066,CY
Lythrodóntas,34.95105,33.29777,CY
Lýmpia,34.99889,33.46175,CY
