City,Latitude,Longitude,Country Code
Prague,50.08804,14.42076,CZ
Brno,49.19522,16.60796,CZ
Ostrava,49.83465,18.28204,CZ
Liberec,50.76711,15.05619,CZ
Pilsen,49.74747,13.37759,CZ
Hradec Králové,50.20923,15.83277,CZ
České Budějovice,48.97447,14.47434,CZ
Olomouc,49.59552,17.25175,CZ
Pardubice,50.04075,15.77659,CZ
Ústí nad Labem,50.6607,14.03227,CZ
Karlovy Vary,50.23271,12.87117,CZ
Zlín,49.22645,17.67065,CZ
Opava,49.93866,17.90257,CZ
Jihlava,49.3961,15.59124,CZ
Havířov,49.77984,18.43688,CZ
Frýdek-Místek,49.68333,18.35,CZ
Děčín,50.78215,14.21478,CZ
Chomutov,50.46048,13.41779,CZ
Cheb,50.07963,12.37392,CZ
Český Krumlov,48.81091,14.31521,CZ
Most,50.50301,13.63617,CZ
Teplice,50.6404,13.82451,CZ
Tachov,49.79528,12.63365,CZ
Tábor,49.41441,14.6578,CZ
Kroměříž,49.29785,17.39312,CZ
Kolín,50.02806,15.1998,CZ
Kladno,50.14734,14.10285,CZ
Fryštát,49.854,18.54169,CZ
Prostějov,49.47188,17.11184,CZ
Přerov,49.45511,17.4509,CZ
