City,Latitude,Longitude,Country Code
Djibouti,11.58901,43.14503,DJ
Holhol,11.31028,42.92944,DJ
Goubétto,11.42389,43.00028,DJ
Tadjoura,11.78778,42.88222,DJ
Obock,11.96693,43.28835,DJ
Dorra,12.15028,42.47624,DJ
Dikhil,11.10454,42.36971,DJ
Ali Sabih,11.15583,42.7125,DJ
Gâlâfi,11.71583,41.83611,DJ
Arta,11.52639,42.85194,DJ
Loyada,11.46111,43.25278,DJ
‘Ali ‘Addé,11.13333,42.88583,DJ
Alaïli Ḏaḏḏa‘,12.42167,42.89556,DJ
Yoboki,11.51139,42.10639,DJ
Ouê‘a,11.50306,42.85528,DJ
Tew‘o,11.43833,42.05722,DJ
Sêdorre,12.36216,43.18898,DJ
Randa,11.84694,42.66056,DJ
Mouddo,12.3,42.43333,DJ
Médého,11.97306,43.02611,DJ
Khôr Angar,12.38725,43.3347,DJ
Ambouli,11.56944,43.13667,DJ
Ḏânan,11.18333,42.93333,DJ
Dadda’to,12.37933,42.71048,DJ
Bankoualé,11.82278,42.67361,DJ
Balho,12.05786,42.19547,DJ
‘As ‘Êla,11.00361,42.1025,DJ
Airolaf,11.77028,42.65194,DJ
Moulhoulé,12.59167,43.2,DJ
Koûta Boûyya,11.01611,41.96194,DJ
