City,Latitude,Longitude,Country Code
Copenhagen,55.67594,12.56553,DK
Aarhus,56.15674,10.21076,DK
Aalborg,57.048,9.9187,DK
Odense,55.39594,10.38831,DK
Tórshavn,62.00973,-6.77164,DK
Kolding,55.4904,9.47216,DK
Frederiksberg,55.67938,12.53463,DK
Esbjerg,55.47028,8.45187,DK
Vejle,55.70927,9.5357,DK
Randers,56.4607,10.03639,DK
Klaksvík,62.22655,-6.58901,DK
Horsens,55.86066,9.85034,DK
Hoyvík,62.03407,-6.78127,DK
Fuglafjørður,62.24398,-6.81395,DK
Hillerød,55.92791,12.30081,DK
Viborg,56.45319,9.40201,DK
Roskilde,55.64152,12.08035,DK
Vágur,61.47324,-6.81185,DK
Køge,55.45802,12.18214,DK
Hvidovre,55.64297,12.47708,DK
Hørsholm,55.88098,12.50111,DK
Herning,56.13615,8.97662,DK
Elsinore,56.03606,12.6136,DK
Fredericia,55.56568,9.75257,DK
Ballerup Municipality,55.73165,12.36328,DK
Avedøre,55.62722,12.45644,DK
Allerød Municipality,55.87035,12.35737,DK
Albertslund,55.65691,12.36381,DK
Svendborg,55.05982,10.60677,DK
Sorø,55.43184,11.55547,DK
