City,Latitude,Longitude,Country Code
Roseau,15.30174,-61.38808,DM
Portsmouth,15.58288,-61.45592,DM
Wesley,15.56667,-61.31667,DM
Saint Joseph,15.4061,-61.42374,DM
Marigot,15.53743,-61.282,DM
Mahaut,15.36357,-61.39701,DM
Berekua,15.23333,-61.31667,DM
Soufrière,15.23374,-61.35881,DM
Salisbury,15.43689,-61.43637,DM
Castle Bruce,15.44397,-61.25723,DM
Pointe Michel,15.25976,-61.37452,DM
Rosalie,15.36667,-61.26667,DM
Pont Cassé,15.36667,-61.35,DM
La Plaine,15.32768,-61.24753,DM
Colihaut,15.48478,-61.46215,DM
Calibishie,15.59297,-61.34901,DM
Vieille Case,15.61418,-61.40823,DM
Trafalgar,15.32728,-61.3456,DM
Thibaud,15.59969,-61.39729,DM
Scotts Head Village,15.21222,-61.36482,DM
Salybia,15.49382,-61.25753,DM
Petite Soufrière,15.39025,-61.25617,DM
Petite Savanne,15.25534,-61.26792,DM
Paix Bouche,15.59248,-61.41133,DM
Morne Raquette,15.45637,-61.44732,DM
Méro,15.41866,-61.42894,DM
Massacre,15.34685,-61.3916,DM
Layou,15.397,-61.42546,DM
Laudat,15.3372,-61.33211,DM
Hampstead,15.59457,-61.3663,DM
