City,Latitude,Longitude,Country Code
Santo Domingo,18.47186,-69.89232,DO
Santiago,19.4517,-70.69703,DO
La Romana,18.42733,-68.97285,DO
San Pedro de Macorís,18.4539,-69.30864,DO
Santo Domingo Este,18.48847,-69.85707,DO
San Cristóbal,18.41667,-70.1,DO
Puerto Plata,19.79344,-70.6884,DO
Santo Domingo Oeste,18.5,-70,DO
Concepción de la Vega,19.22207,-70.52956,DO
Bella Vista,18.45539,-69.9454,DO
San Francisco de Macorís,19.30099,-70.25259,DO
Santa Cruz de Barahona,18.20854,-71.10077,DO
Salvaleón de Higüey,18.61501,-68.70798,DO
Bonao,18.93687,-70.40923,DO
Baní,18.27964,-70.33185,DO
Azua,18.45319,-70.7349,DO
San Juan,18.80588,-71.22991,DO
Punta Cana,18.58182,-68.40431,DO
Nagua,19.3832,-69.8474,DO
Hato Mayor del Rey,18.76278,-69.25681,DO
Dajabón,19.54878,-71.70829,DO
Cotuí,19.05272,-70.14939,DO
Comendador,18.8775,-71.70278,DO
Bajos de Haina,18.41538,-70.03317,DO
Santa Cruz de El Seibo,18.76559,-69.03886,DO
Samaná,19.20404,-69.33407,DO
San José de Ocoa,18.54661,-70.50631,DO
Monte Cristo,19.84799,-71.64604,DO
Pedernales,18.03838,-71.74403,DO
Monte Plata,18.807,-69.78399,DO
