City,Latitude,Longitude,Country Code
Quito,-0.22985,-78.52495,EC
Guayaquil,-2.19616,-79.88621,EC
Cuenca,-2.90055,-79.00453,EC
Santo Domingo de los Colorados,-0.25305,-79.17536,EC
Portoviejo,-1.05458,-80.45445,EC
Machala,-3.25861,-79.96053,EC
Ambato,-1.24908,-78.61675,EC
Loja,-3.99313,-79.20422,EC
Durán,-2.16919,-79.83987,EC
Tulcán,0.81187,-77.71727,EC
Riobamba,-1.67098,-78.64712,EC
Manta,-0.94937,-80.73137,EC
Latacunga,-0.93521,-78.61554,EC
Ibarra,0.35171,-78.12233,EC
Esmeraldas,0.9592,-79.65397,EC
Babahoyo,-1.80217,-79.53443,EC
Tena,-0.9938,-77.81286,EC
Santa Elena,-2.22622,-80.85873,EC
Quevedo,-1.02881,-79.46264,EC
Puyo,-1.48369,-78.00257,EC
Puerto Francisco de Orellana,-0.46645,-76.98719,EC
Milagro,-2.13396,-79.59337,EC
Nueva Loja,0.086,-76.89528,EC
Guaranda,-1.59263,-79.00098,EC
Daule,-1.86032,-79.97683,EC
Azogues,-2.73969,-78.8486,EC
Zamora,-4.06685,-78.95488,EC
Salinas,-2.21452,-80.95151,EC
Puerto Baquerizo Moreno,-0.90172,-89.61021,EC
Otavalo,0.23457,-78.26248,EC
