City,Latitude,Longitude,Country Code
Tallinn,59.43696,24.75353,EE
Tartu,58.38062,26.72509,EE
Narva,59.37722,28.19028,EE
Viljandi,58.36389,25.59,EE
Pärnu,58.38588,24.49711,EE
Kohtla-Järve,59.39861,27.27306,EE
Rakvere,59.34639,26.35583,EE
Nõmme,59.37757,24.68587,EE
Maardu,59.46529,24.98215,EE
Kuressaare,58.25382,22.49217,EE
Võru,57.83389,27.01944,EE
Valga,57.77781,26.0473,EE
Paide,58.88556,25.55722,EE
Jõhvi,59.35917,27.42111,EE
Jõgeva,58.74667,26.39389,EE
Haapsalu,58.94306,23.54139,EE
Tori Parish,58.47889,24.82417,EE
Sillamäe,59.39697,27.76331,EE
Rapla,59.00722,24.79278,EE
Raasiku,59.36639,25.18306,EE
Põlva,58.06028,27.06944,EE
Paldiski,59.35667,24.05306,EE
Keila,59.30361,24.41306,EE
Kärdla,58.99778,22.74917,EE
Tähtvere Parish,58.40889,26.64944,EE
Mäksa Parish,58.37889,26.98222,EE
Tõlliste Parish,57.85833,26.17833,EE
Ridala Parish,58.87667,23.61528,EE
Kareda Parish,58.96083,25.81,EE
Vändra,58.64806,25.03611,EE
