City,Latitude,Longitude,Country Code
Cairo,30.06263,31.24967,EG
Giza,30.00944,31.20861,EG
Alexandria,31.20176,29.91582,EG
Suez,29.97371,32.52627,EG
Madīnat an Naşr,30.06667,31.3,EG
Tanta,30.78847,31.00192,EG
Sohag,26.55695,31.69478,EG
Rosetta,31.39951,30.41718,EG
Marsá Maţrūḩ,31.3529,27.23725,EG
Damietta,31.41648,31.81332,EG
Damanhur,31.03408,30.46823,EG
Port Said,31.26531,32.3019,EG
Zagazig,30.58768,31.502,EG
Asyut,27.18096,31.18368,EG
Aswān,24.09082,32.89942,EG
Luxor,25.69893,32.6421,EG
Al Mansurah,31.03637,31.38069,EG
Ismailia,30.60427,32.27225,EG
Hurghada,27.25738,33.81291,EG
Al Fayyum,29.30995,30.8418,EG
Al ‘Arīsh,31.13159,33.79844,EG
Shubrā al Khaymah,30.12511,31.25053,EG
Shibīn al Kawm,30.55258,31.00904,EG
Kom Ombo,24.47669,32.94626,EG
Kafr ash Shaykh,31.11174,30.93991,EG
Esna,25.29336,32.55402,EG
Edfu,24.97916,32.87722,EG
Helwan,29.84144,31.30084,EG
Qina,26.16418,32.72671,EG
Banī Suwayf,29.07441,31.09785,EG
