City,Latitude,Longitude,Country Code
Laayoune,27.1418,-13.18797,EH
Boujdour,26.13073,-14.48513,EH
Dakhla,23.68477,-15.95798,EH
Laayoune Plage,27.09611,-13.41583,EH
Foum el Oued,27.17357,-13.39886,EH
Daoura,27.46175,-12.99412,EH
Smara,26.73841,-11.67194,EH
Uad Guenifa,20.83228,-17.08988,EH
Zug,21.56523,-14.10388,EH
Tifariti,26.1579,-10.55889,EH
Tichla,21.5837,-14.97222,EH
El Aargub,23.60882,-15.86726,EH
Bir Ganduz,21.60336,-16.45018,EH
Bir Anzarane,23.89,-14.53603,EH
Aghwinit,22.1934,-13.14093,EH
Echdeiria,27.23333,-10.45,EH
Hasi Gueleita,24.99528,-12.33694,EH
Dchira,27.02611,-13.05194,EH
Uad Damran,27.4625,-12.99222,EH
Al Mahbas,27.41434,-9.04785,EH
Piedra del Kaisser,27.23333,-11.78333,EH
Echdera,23.93333,-15.61667,EH
Bu Craa,26.35389,-12.78389,EH
Bir Ganduf,26.11667,-11.06667,EH
Amseisat Saccum,22.95911,-15.5998,EH
Metmárfag,26.43333,-13.43333,EH
Lemsid,26.53914,-13.83876,EH
Jcheibi el Gardeg,27.26667,-10.38333,EH
Samlat el HMad,27.43333,-12.4,EH
Hasi el Fauuar,22.68333,-12.71667,EH
