City,Latitude,Longitude,Country Code
Asmara,15.33805,38.93184,ER
Massawa,15.60811,39.47455,ER
Keren,15.77792,38.45107,ER
Barentu,15.10582,37.59067,ER
Assab,13.00917,42.73944,ER
Mendefera,14.88722,38.81528,ER
Adi Keyh,14.84444,39.37722,ER
Edd,13.93088,41.6938,ER
Agordat,15.54798,37.88291,ER
Dek’emhāre,15.07,39.0475,ER
Umm Hājar,14.32761,36.64437,ER
Marsa Fatima,14.90083,40.31361,ER
Himora,14.30427,36.60601,ER
Gwelej,14.74306,36.71917,ER
Debarwa,15.09683,38.83331,ER
Tiyo,14.68965,40.95882,ER
Teseney,15.11,36.6575,ER
Segheneytī,15.05278,39.18722,ER
Nak’fa,16.66726,38.47649,ER
Kulul,14.37474,40.35149,ER
Beilul,13.2643,42.335,ER
Haykota,15.18596,37.08289,ER
Arkiko,15.53774,39.45294,ER
Tokombiya,14.78361,37.47361,ER
Zula,15.24567,39.66901,ER
Tse’azega,15.35058,38.80121,ER
Tauda,15.17828,37.48677,ER
Dengolo Tahtay,15.47153,39.12959,ER
Sen‘afe,14.70013,39.42229,ER
Raheita,12.72852,43.0834,ER
