City,Latitude,Longitude,Country Code
Madrid,40.4165,-3.70256,ES
Barcelona,41.38879,2.15899,ES
Zaragoza,41.65606,-0.87734,ES
Málaga,36.72016,-4.42034,ES
Seville,37.38283,-5.97317,ES
Las Palmas de Gran Canaria,28.09973,-15.41343,ES
Palma,39.56939,2.65024,ES
Murcia,37.98704,-1.13004,ES
Valencia,39.47391,-0.37966,ES
Valladolid,41.65518,-4.72372,ES
Logroño,42.46667,-2.45,ES
Pamplona,42.81687,-1.64323,ES
Oviedo,43.36029,-5.84476,ES
Bilbao,43.26271,-2.92528,ES
Santiago de Compostela,42.88052,-8.54569,ES
Santander,43.46472,-3.80444,ES
Tenerife,28.46824,-16.25462,ES
Badajoz,38.87789,-6.97061,ES
Almería,36.83814,-2.45974,ES
Alicante,38.34517,-0.48149,ES
Algeciras,36.13326,-5.45051,ES
Albacete,38.99424,-1.85643,ES
Salamanca,40.96882,-5.66388,ES
Vitoria-Gasteiz,42.84998,-2.67268,ES
Vigo,42.23282,-8.72264,ES
Burgos,42.34106,-3.70184,ES
Gijón,43.53573,-5.66152,ES
Getafe,40.30571,-3.73295,ES
Lleida,41.61674,0.62218,ES
León,42.60003,-5.57032,ES
