City,Latitude,Longitude,Country Code
Jijiga,9.35,42.8,ET
Addis Ababa,9.02497,38.74689,ET
Mek'ele,13.49667,39.47528,ET
Bahir Dar,11.59364,37.39077,ET
Awasa,7.06205,38.47635,ET
Harar,9.31387,42.11815,ET
Dire Dawa,9.59306,41.86611,ET
Shashamane,7.2,38.6,ET
Nek’emtē,9.08333,36.55,ET
Kombolcha,11.08155,39.74339,ET
Axum,14.12109,38.72337,ET
Hosa’ina,7.54978,37.85374,ET
Gonder,12.6,37.46667,ET
Gambēla,8.25,34.58333,ET
Sodo,6.86,37.76159,ET
Irgalem,6.75,38.41667,ET
Weldiya,11.8277,39.59164,ET
Sebeta,8.91667,38.61667,ET
Nazrēt,8.55,39.26667,ET
Lalibela,12.03219,39.04756,ET
Jimma,7.67344,36.83441,ET
Āsosa,10.06667,34.53333,ET
Āsela,7.95,39.13333,ET
Arba Minch,6.03333,37.55,ET
Adwa,14.16347,38.89924,ET
Ādīgrat,14.277,39.462,ET
Inda Silasē,14.10307,38.28289,ET
Waliso,8.53417,37.96515,ET
Dīla,6.41667,38.31667,ET
Dessie,11.13333,39.63333,ET
