City,Latitude,Longitude,Country Code
Helsinki,60.16952,24.93545,FI
Oulu,65.01236,25.46816,FI
Espoo,60.2052,24.6522,FI
Turku,60.45148,22.26869,FI
Tampere,61.49911,23.78712,FI
Lahti,60.98267,25.66151,FI
Kuopio,62.89238,27.67703,FI
Jyväskylä,62.24147,25.72088,FI
Pori,61.48333,21.78333,FI
Vantaa,60.29414,25.04099,FI
Mariehamn,60.09726,19.93481,FI
Kouvola,60.86667,26.7,FI
Lappeenranta,61.05871,28.18871,FI
Joensuu,62.60118,29.76316,FI
Hämeenlinna,60.99596,24.46434,FI
Rovaniemi,66.5,25.71667,FI
Vaasa,63.096,21.61577,FI
Kokkola,63.83847,23.13066,FI
Mikkeli,61.68857,27.27227,FI
Kajaani,64.22728,27.72846,FI
Seinäjoki,62.79446,22.82822,FI
Hammarland,60.21667,19.75,FI
Finström,60.26667,19.93333,FI
Kotka,60.4664,26.94582,FI
Nokia,61.46667,23.5,FI
Porvoo,60.39233,25.66507,FI
Jomala,60.14902,19.951,FI
Eckerö,60.21249,19.61442,FI
Sund,60.25,20.11667,FI
Kirkkonummi,60.12381,24.43853,FI
