City,Latitude,Longitude,Country Code
Suva,-18.13683,178.42531,FJ
Lautoka,-17.61686,177.45049,FJ
Nasinu,-18.07051,178.51313,FJ
Nadi,-17.80309,177.41617,FJ
Labasa,-16.4332,179.36451,FJ
Sigatoka,-18.14307,177.50691,FJ
Ba,-17.5343,177.67407,FJ
Levuka,-18.06667,179.31667,FJ
Levuka,-17.68177,178.83349,FJ
Vatoa,-19.82211,-178.25137,FJ
Somosomo,-16.77229,-179.97054,FJ
Mbouma,-16.82262,-179.87091,FJ
Lomaloma,-17.28942,-178.98717,FJ
Navua,-18.22271,178.17002,FJ
Navidamu,-16.52349,178.90999,FJ
Navala,-17.6583,177.81318,FJ
Nausori,-18.03134,178.53063,FJ
Namalata,-19.05774,178.15511,FJ
Nabuna,-17.2497,179.38374,FJ
Nabukelevu,-19.12725,177.95551,FJ
Nabua,-18.10785,178.5609,FJ
Motusa,-12.50806,177.03934,FJ
Lovoni,-17.6905,178.79203,FJ
Lomanikoro,-18.10447,178.55822,FJ
Viseisei,-17.68763,177.40914,FJ
Vatukoula,-17.50136,177.84983,FJ
Vagadaci,-17.67192,178.83077,FJ
Vaileka,-17.37894,178.15329,FJ
Tavua,-17.44221,177.86221,FJ
Sorokoba,-17.48991,177.70399,FJ
