City,Latitude,Longitude,Country Code
Stanley,-51.69382,-57.85701,FK
Goose Green,-51.82774,-58.97255,FK
Port Howard,-51.6154,-59.52301,FK
Walker Creek,-51.96667,-58.76667,FK
Teal Inlet Settlement,-51.54571,-58.42355,FK
Salvador Settlement,-51.43409,-58.37199,FK
San Carlos Settlement,-51.57357,-59.03499,FK
Rincon Grande,-51.46151,-58.30933,FK
Port Louis Settlement,-51.52367,-58.10896,FK
Pebble Island Settlement,-51.31818,-59.6039,FK
North Arm,-52.12373,-59.36763,FK
Douglas Settlement,-51.45986,-58.60883,FK
Darwin,-51.80693,-58.95961,FK
Roy Cove,-51.54836,-60.38558,FK
Dunnose Head Settlement,-51.74147,-60.41657,FK
Chartres,-51.71108,-60.07954,FK
Weddell Settlement,-51.89231,-60.90485,FK
Port San Carlos,-51.50184,-58.98751,FK
Fitzroy Settlement,-51.78694,-58.22629,FK
Fox Bay East Settlement,-51.95656,-60.06929,FK
Mount Pleasant,-51.82899,-58.46083,FK
Sand Fountain,-51.48333,-58.75,FK
Orqueta,-51.86667,-59.23333,FK
Mariquita,-51.9,-59.4,FK
Johnson Harbour Settlement,-51.49837,-58.03967,FK
Ceritos,-51.71667,-58.85,FK
Camp Verde,-51.53333,-58.96667,FK
Spring Point Settlement,-51.82968,-60.45588,FK
Port Stephens Settlement,-52.10243,-60.84451,FK
Fox Bay West Settlement,-51.95168,-60.08438,FK
