City,Latitude,Longitude,Country Code
Weno,7.44648,151.84135,FM
Kolonia,6.964,158.2062,FM
Tofol,5.32479,163.00781,FM
Colonia,9.51638,138.12167,FM
Kolonia Town,6.964,158.206,FM
Palikir,6.92477,158.16109,FM
Nema,6.98922,152.57377,FM
Lukunor Village,5.507,153.821,FM
Satowan Village,5.334,153.7385,FM
Pulap Village,7.63665,149.42788,FM
Kuttu Village,5.45674,153.45965,FM
Worwoq,9.51025,138.1216,FM
Baleabaat,9.5042,138.12203,FM
Malawaay,9.56612,138.12635,FM
Qatliw,9.55463,138.10206,FM
Waalooy,9.58537,138.17357,FM
Gachpar,9.5404,138.18535,FM
Rumuuq,9.54273,138.12491,FM
Bugol,9.51588,138.15559,FM
Feeduqor,9.50339,138.07482,FM
Luweech,9.48686,138.0828,FM
Magachgil,9.44533,138.0641,FM
Malaay,9.46222,138.05781,FM
Meechoqol,9.61852,138.15049,FM
Qaringeel,9.52221,138.08179,FM
Qayirech,9.57936,138.12479,FM
Tawoowaay,9.44721,138.05824,FM
Wachaelaeb,9.59716,138.17891,FM
Weenfaraq,9.62006,138.15889,FM
Tunuk,7.37921,151.7237,FM
