City,Latitude,Longitude,Country Code
Tórshavn,62.00973,-6.77164,FO
Argir,61.99595,-6.77154,FO
Klaksvík,62.22655,-6.58901,FO
Hoyvík,62.03407,-6.78127,FO
Fuglafjørður,62.24398,-6.81395,FO
Við Sjógv,62.11967,-6.75005,FO
Vágur,61.47324,-6.81185,FO
Saltangará,62.11647,-6.71797,FO
Vestmanna,62.15354,-7.17291,FO
Sørvágur,62.07203,-7.30749,FO
Hestur,61.95581,-6.8826,FO
Gjógv,62.32294,-6.93579,FO
Gásadalur,62.11238,-7.43245,FO
Funningur,62.28713,-6.96799,FO
Funningsfjørður,62.23656,-6.92527,FO
Árnafjørður,62.25264,-6.52006,FO
Ánir,62.25601,-6.57525,FO
Akrar,61.45575,-6.7602,FO
Svínoy,62.27865,-6.33389,FO
Miðvágur,62.05111,-7.19389,FO
Kvívík,62.11731,-7.07471,FO
Kirkjubøur,61.95306,-6.79078,FO
Hvalba,61.60237,-6.96063,FO
Húsar,62.26265,-6.68908,FO
Haraldssund,62.2725,-6.60299,FO
Gøtugjógv,62.19201,-6.74338,FO
Fámjin,61.52564,-6.88068,FO
Depil,62.28686,-6.52282,FO
Sandur,61.8425,-6.80778,FO
Leirvík,62.20992,-6.69284,FO
