City,Latitude,Longitude,Country Code
Paris,48.85341,2.3488,FR
Lyon,45.74846,4.84671,FR
Marseille,43.29695,5.38107,FR
Bordeaux,44.84044,-0.5805,FR
Nice,43.70313,7.26608,FR
Nantes,47.21725,-1.55336,FR
Toulouse,43.60426,1.44367,FR
Strasbourg,48.58392,7.74553,FR
Lille,50.63297,3.05858,FR
Montpellier,43.61093,3.87635,FR
Orléans,47.90289,1.90389,FR
Dijon,47.31667,5.01667,FR
Rouen,49.44313,1.09932,FR
Rennes,48.11198,-1.67429,FR
Saint-Maur-des-Fossés,48.79395,2.49323,FR
Aulnay-sous-Bois,48.93814,2.49402,FR
Argenteuil,48.94788,2.24744,FR
Antibes,43.58127,7.12487,FR
Angers,47.47156,-0.55202,FR
Amiens,49.9,2.3,FR
Le Mans,48.0021,0.20251,FR
Le Havre,49.49346,0.10785,FR
Ajaccio,41.91886,8.73812,FR
Aix-en-Provence,43.5283,5.44973,FR
Blois,47.59432,1.32912,FR
Besançon,47.24878,6.01815,FR
Champigny-sur-Marne,48.81642,2.49366,FR
Cannes,43.55135,7.01275,FR
Caen,49.18585,-0.35912,FR
Brest,48.39029,-4.48628,FR
