City,Latitude,Longitude,Country Code
Libreville,0.39241,9.45356,GA
Franceville,-1.63333,13.58357,GA
Port-Gentil,-0.71933,8.78151,GA
Moanda,-1.56652,13.1987,GA
Lambaréné,-0.7001,10.24055,GA
Koulamoutou,-1.13667,12.46399,GA
Ntoum,0.39051,9.76096,GA
Mouila,-1.86846,11.05594,GA
Makokou,0.57381,12.86419,GA
Tchibanga,-2.93323,10.98178,GA
Oyem,1.5995,11.57933,GA
Owendo,0.29123,9.50465,GA
Mitzic,0.78205,11.54904,GA
Lékoni,-1.58431,14.25905,GA
Lastoursville,-0.81742,12.70818,GA
Bitam,2.07597,11.50065,GA
Okondja,-0.65487,13.67533,GA
Ndendé,-2.40077,11.35813,GA
Ndjolé,-0.17827,10.76488,GA
Mounana,-1.4085,13.15857,GA
Minvoul,2.15161,12.132,GA
Mimongo,-1.61952,11.60675,GA
Mékambo,1.00652,13.95938,GA
Médouneu,1.01619,10.79598,GA
Mbigou,-1.90046,11.906,GA
Mayumba,-3.43198,10.6554,GA
Lébamba,-2.21213,11.46978,GA
Kango,0.17175,10.10905,GA
Iboundji,0.86985,9.5864,GA
Gamba,-2.65,10,GA
