City,Latitude,Longitude,Country Code
London,51.50853,-0.12574,GB
Birmingham,52.48142,-1.89983,GB
Edinburgh,55.95206,-3.19648,GB
Liverpool,53.41058,-2.97794,GB
Glasgow,55.86515,-4.25763,GB
Sheffield,53.38297,-1.4659,GB
Leeds,53.79648,-1.54785,GB
Cardiff,51.48,-3.18,GB
Bristol,51.45523,-2.59665,GB
Douglas,54.15,-4.48333,GB
Manchester,53.48095,-2.23743,GB
St Peter Port,49.45981,-2.53527,GB
Grytviken,-54.28111,-36.5092,GB
Saint Helier,49.18804,-2.10491,GB
Exeter,50.7236,-3.52751,GB
Eastbourne,50.76871,0.28453,GB
Dundee,56.46913,-2.97489,GB
Derby,52.92277,-1.47663,GB
Lincoln,53.22683,-0.53792,GB
Leicester,52.6386,-1.13169,GB
York,53.95763,-1.08271,GB
Worcester,52.18935,-2.22001,GB
Wolverhampton,52.58547,-2.12296,GB
Woking,51.31903,-0.55893,GB
West Bromwich,52.51868,-1.9945,GB
Hereford,52.05684,-2.71482,GB
Hastings,50.85568,0.58009,GB
Gloucester,51.86568,-2.2431,GB
Coventry,52.40656,-1.51217,GB
Colchester,51.88921,0.90421,GB
